n,depth,alpha,seed,rule,chi,peak_weight,R,min_abs_Z,fidelity,discarded_weight,seconds
12,18,0.05,0,random,8,0.49985,0.5,0.0363134,0.000102866,38.994,0.0574538
12,18,0.05,0,random,16,0.49985,0.583333,0.0537156,3.07062e-05,21.8892,0.0899256
12,18,0.05,0,random,32,0.49985,0.583333,0.0029359,0.000355957,8.75823,0.140906
12,18,0.05,0,random,64,0.49985,1,0.578779,1,0,0.168403
12,18,0.05,1,top_chi,2,0.50777,0.916667,0.0834424,0.0124766,11.2107,0.0389789
12,18,0.05,1,top_chi,4,0.50777,1,0.129177,0.101312,5.51062,0.0380688
12,18,0.05,1,top_chi,8,0.50777,1,0.232218,0.196456,3.08099,0.0437406
12,18,0.05,1,top_chi,16,0.50777,1,0.436112,0.516697,1.38719,0.0682968
12,18,0.05,1,top_chi,32,0.50777,1,0.542189,0.857103,0.280711,0.147765
12,18,0.05,1,top_chi,64,0.50777,1,0.546729,1,0,0.172996
12,18,0.05,1,random,2,0.50777,0.5,0.0621574,1.48133e-05,80.2766,0.0354966
12,18,0.05,1,random,4,0.50777,0.416667,0.00366627,0.000729538,61.3914,0.0488391
12,18,0.05,1,random,8,0.50777,0.583333,0.00955357,0.000132456,46.2039,0.0500925
12,18,0.05,1,random,16,0.50777,0.75,0.0267736,0.000446387,22.7581,0.0916366
12,18,0.05,1,random,32,0.50777,0.333333,0.00126812,0.000263683,9.20119,0.153926
12,18,0.05,1,random,64,0.50777,1,0.546729,1,0,0.179231
12,18,0.05,2,top_chi,2,0.532179,0.916667,0.00896584,0.0209592,9.68417,0.0390986
12,18,0.05,2,top_chi,4,0.532179,1,0.168129,0.104341,5.6065,0.0479108
12,18,0.05,2,top_chi,8,0.532179,1,0.116757,0.221176,3.20998,0.0785639
12,18,0.05,2,top_chi,16,0.532179,1,0.33444,0.50048,1.50129,0.0763364
12,18,0.05,2,top_chi,32,0.532179,1,0.548607,0.853578,0.313344,0.169709
12,18,0.05,2,top_chi,64,0.532179,1,0.588545,1,0,0.166609
12,18,0.05,2,random,2,0.532179,0.166667,0.00246522,0.000156197,76.7177,0.0522123
12,18,0.05,2,random,4,0.532179,0.666667,0.168143,3.63964e-06,63.3036,0.0530111
12,18,0.05,2,random,8,0.532179,0.583333,0.00579696,3.78448e-05,45.4282,0.0700277
12,18,0.05,2,random,16,0.532179,0.5,0.0212923,0.000316813,22.1403,0.0772781
12,18,0.05,2,random,32,0.532179,0.5,0.00883878,0.000166755,7.5551,0.145442
12,18,0.05,2,random,64,0.532179,1,0.588545,1,0,0.182719
12,18,0.05,3,top_chi,2,0.510717,0.583333,0.0176615,0.00715542,10.6047,0.0425675
12,18,0.05,3,top_chi,4,0.510717,1,0.171329,0.0737518,5.68449,0.0477873
12,18,0.05,3,top_chi,8,0.510717,1,0.309337,0.265052,2.96683,0.0531116
12,18,0.05,3,top_chi,16,0.510717,1,0.421259,0.538933,1.33425,0.0827639
12,18,0.05,3,top_chi,32,0.510717,1,0.508028,0.861686,0.275595,0.142409
12,18,0.05,3,top_chi,64,0.510717,1,0.553375,1,0,0.173367
12,18,0.05,3,random,2,0.510717,0.583333,0.0656126,0.000216583,87.8345,0.0593117
12,18,0.05,3,random,4,0.510717,0.416667,0.0318318,0.000320833,59.3935,0.0625361
12,18,0.05,3,random,8,0.510717,0.583333,0.0339893,0.000298963,36.2225,0.0432919
12,18,0.05,3,random,16,0.510717,0.416667,0.014769,0.00039405,24.9765,0.0872662
12,18,0.05,3,random,32,0.510717,0.5,0.0171256,2.78548e-05,8.37172,0.129757
12,18,0.05,3,random,64,0.510717,1,0.553375,1,0,0.162953
12,18,0.05,4,top_chi,2,0.522133,0.833333,0.0160596,0.0290971,10.5093,0.0448331
12,18,0.05,4,top_chi,4,0.522133,1,0.0665842,0.090036,5.72162,0.0631373
12,18,0.05,4,top_chi,8,0.522133,1,0.372803,0.278672,2.7356,0.0715367
12,18,0.05,4,top_chi,16,0.522133,1,0.494264,0.596933,1.09052,0.101106
12,18,0.05,4,top_chi,32,0.522133,1,0.564098,0.895592,0.199981,0.157088
12,18,0.05,4,top_chi,64,0.522133,1,0.568111,1,0,0.199543
12,18,0.05,4,random,2,0.522133,0.333333,0.0484496,0.00015265,89.3717,0.0601874
12,18,0.05,4,random,4,0.522133,0.666667,0.0561613,0.000230406,60.1589,0.0665167
12,18,0.05,4,random,8,0.522133,0.333333,0.0215412,9.0131e-06,32.987,0.0786267
12,18,0.05,4,random,16,0.522133,0.666667,0.0369554,0.00058224,20.0008,0.0849266
12,18,0.05,4,random,32,0.522133,0.5,0.0018768,0.000236795,6.37658,0.147438
12,18,0.05,4,random,64,0.522133,1,0.568111,1,0,0.204457
