n,depth,alpha,seed,rule,chi,peak_weight,R,min_abs_Z,fidelity,discarded_weight,seconds
16,24,0.05,3,random,16,0.281376,0.6875,0.0485219,9.70199e-06,77.7475,0.13751
16,24,0.05,3,random,32,0.281376,0.375,0.0222917,4.69475e-06,51.4788,0.466924
16,24,0.05,3,random,64,0.281376,0.4375,0.00807322,3.32974e-06,33.2816,5.39439
16,24,0.05,3,random,128,0.281376,0.4375,0.000725191,2.00213e-06,10.4236,19.4935
16,24,0.05,3,random,256,0.281376,1,0.342019,1,0,20.3263
16,24,0.05,4,top_chi,2,0.297971,0.5625,0.00207108,2.60801e-05,19.9594,0.0641537
16,24,0.05,4,top_chi,4,0.297971,0.6875,0.0604665,0.000997062,12.9924,0.0671908
16,24,0.05,4,top_chi,8,0.297971,1,0.0384736,0.024434,7.2701,0.0802882
16,24,0.05,4,top_chi,16,0.297971,1,0.157798,0.113206,4.60939,0.153568
16,24,0.05,4,top_chi,32,0.297971,1,0.24334,0.29366,2.57268,0.516701
16,24,0.05,4,top_chi,64,0.297971,1,0.338374,0.559726,1.17026,5.63163
16,24,0.05,4,top_chi,128,0.297971,1,0.375577,0.861434,0.257278,18.6086
16,24,0.05,4,top_chi,256,0.297971,1,0.371333,1,0,21.2099
16,24,0.05,4,random,2,0.297971,0.5625,0.0467852,3.69985e-06,153.232,0.0838563
16,24,0.05,4,random,4,0.297971,0.5,0.0196783,4.96955e-07,120.476,0.0935646
16,24,0.05,4,random,8,0.297971,0.625,0.0121839,0.000172022,102.717,0.102234
16,24,0.05,4,random,16,0.297971,0.5,0.0029963,8.31136e-06,82.8996,0.156708
16,24,0.05,4,random,32,0.297971,0.6875,0.0188282,5.25446e-05,54.2685,0.503467
16,24,0.05,4,random,64,0.297971,0.5625,0.00023714,5.19555e-06,32.3934,4.36864
16,24,0.05,4,random,128,0.297971,0.5625,0.00154479,6.60417e-05,9.45413,13.6017
16,24,0.05,4,random,256,0.297971,1,0.371333,1,0,13.3446
16,24,0.1,0,top_chi,2,0.00668789,0.625,0.0638556,5.52805e-06,20.8427,0.0401111
16,24,0.1,0,top_chi,4,0.00668789,0.5625,0.0289682,4.6282e-05,13.5885,0.0465626
16,24,0.1,0,top_chi,8,0.00668789,0.8125,0.000691936,0.00198582,8.54897,0.0629878
16,24,0.1,0,top_chi,16,0.00668789,0.9375,0.00614503,0.0120261,5.69919,0.0922324
16,24,0.1,0,top_chi,32,0.00668789,1,0.0129401,0.0634294,3.60972,0.285926
16,24,0.1,0,top_chi,64,0.00668789,1,0.0117936,0.212089,1.89193,3.42927
16,24,0.1,0,top_chi,128,0.00668789,1,0.0096023,0.649084,0.491479,12.3227
16,24,0.1,0,top_chi,256,0.00668789,1,0.00781336,1,0,13.2256
16,24,0.1,0,random,2,0.00668789,0.4375,0.0555893,3.7229e-07,158.49,0.0465089
16,24,0.1,0,random,4,0.00668789,0.8125,0.0311104,1.45146e-05,142.347,0.0597604
16,24,0.1,0,random,8,0.00668789,0.375,0.00217419,1.21026e-05,95.8536,0.0651688
16,24,0.1,0,random,16,0.00668789,0.625,0.00558928,2.36632e-05,72.5232,0.104713
16,24,0.1,0,random,32,0.00668789,0.5625,0.0359396,1.1447e-06,51.802,0.299978
16,24,0.1,0,random,64,0.00668789,0.375,0.00690409,1.64788e-06,33.122,3.62495
16,24,0.1,0,random,128,0.00668789,0.6875,0.000339299,6.23939e-06,10.5666,12.2183
16,24,0.1,0,random,256,0.00668789,1,0.00781336,1,0,12.7765
16,24,0.1,1,top_chi,2,0.00805105,0.4375,0.0160802,7.22973e-06,23.1018,0.0391706
16,24,0.1,1,top_chi,4,0.00805105,0.6875,0.0205516,3.58482e-05,14.5788,0.0484209
16,24,0.1,1,top_chi,8,0.00805105,1,0.0185472,0.00143297,9.20799,0.0576043
16,24,0.1,1,top_chi,16,0.00805105,0.9375,0.00267212,0.0151043,6.09024,0.0910316
16,24,0.1,1,top_chi,32,0.00805105,0.9375,0.00721301,0.0643998,3.84357,0.258195
16,24,0.1,1,top_chi,64,0.00805105,1,0.0125077,0.20556,2.0317,3.21247
16,24,0.1,1,top_chi,128,0.00805105,1,0.0261004,0.623786,0.551991,11.3286
16,24,0.1,1,top_chi,256,0.00805105,1,0.0249518,1,0,12.2211
16,24,0.1,1,random,2,0.00805105,0.375,0.051256,9.00461e-06,156.152,0.0478723
16,24,0.1,1,random,4,0.00805105,0.4375,0.0308775,1.32411e-05,125.358,0.0491549
16,24,0.1,1,random,8,0.00805105,0.375,0.00375557,1.20913e-05,101.679,0.0625968
16,24,0.1,1,random,16,0.00805105,0.625,0.00931597,7.17547e-06,73.909,0.0883465
16,24,0.1,1,random,32,0.00805105,0.6875,0.00291132,1.01502e-05,54.2613,0.256198
16,24,0.1,1,random,64,0.00805105,0.375,0.00359946,1.39279e-05,32.4003,3.23386
16,24,0.1,1,random,128,0.00805105,0.75,0.0010646,1.02151e-05,10.2945,11.2739
16,24,0.1,1,random,256,0.00805105,1,0.0249518,1,0,12.589
16,24,0.1,2,top_chi,2,0.00483661,0.625,0.0662966,4.91802e-05,22.6697,0.0386683
16,24,0.1,2,top_chi,4,0.00483661,0.8125,0.0320137,2.66638e-05,13.8583,0.0425012
16,24,0.1,2,top_chi,8,0.00483661,0.5625,0.0208648,0.000986745,9.13818,0.0528001
16,24,0.1,2,top_chi,16,0.00483661,0.875,0.00119453,0.0113199,5.92728,0.0926222
16,24,0.1,2,top_chi,32,0.00483661,0.9375,0.0267312,0.0526983,3.94905,0.258817
16,24,0.1,2,top_chi,64,0.00483661,1,0.00102011,0.190775,2.10621,3.21865
16,24,0.1,2,top_chi,128,0.00483661,1,0.0109306,0.624725,0.551343,11.2342
16,24,0.1,2,top_chi,256,0.00483661,1,0.0127478,1,0,12.1199
16,24,0.1,2,random,2,0.00483661,0.4375,0.0439348,3.48584e-05,156.912,0.0431584
16,24,0.1,2,random,4,0.00483661,0.3125,0.031375,8.2332e-06,129.417,0.0577743
16,24,0.1,2,random,8,0.00483661,0.5,0.039605,3.23339e-06,101.522,0.0604401
16,24,0.1,2,random,16,0.00483661,0.4375,0.0110247,1.56808e-05,78.509,0.0885541
16,24,0.1,2,random,32,0.00483661,0.625,0.0189947,4.86622e-06,51.7287,0.250693
16,24,0.1,2,random,64,0.00483661,0.5625,0.00144394,7.32779e-06,33.4159,3.1898
16,24,0.1,2,random,128,0.00483661,0.5,0.000749717,9.57667e-06,10.9435,11.3788
16,24,0.1,2,random,256,0.00483661,1,0.0127478,1,0,12.2472
16,24,0.1,3,top_chi,2,0.00574981,0.5625,0.0061808,4.52658e-06,23.4211,0.0369063
16,24,0.1,3,top_chi,4,0.00574981,0.6875,0.0115325,1.7061e-05,13.0857,0.0425464
16,24,0.1,3,top_chi,8,0.00574981,0.6875,0.00389166,0.00233032,8.73487,0.0514975
16,24,0.1,3,top_chi,16,0.00574981,0.875,0.00873178,0.0119198,5.85025,0.083653
16,24,0.1,3,top_chi,32,0.00574981,1,0.000334784,0.0542258,3.88639,0.247034
16,24,0.1,3,top_chi,64,0.00574981,0.9375,0.00036053,0.191149,2.05017,3.17813
16,24,0.1,3,top_chi,128,0.00574981,1,0.0040926,0.623272,0.534368,13.5089
16,24,0.1,3,top_chi,256,0.00574981,1,0.00481812,1,0,12.5464
16,24,0.1,3,random,2,0.00574981,0.5625,0.0995832,1.92007e-05,146.746,0.0443621
16,24,0.1,3,random,4,0.00574981,0.5,0.0314788,1.37281e-06,127.186,0.0463001
16,24,0.1,3,random,8,0.00574981,0.5,0.0312038,4.32378e-05,97.8033,0.0627888
16,24,0.1,3,random,16,0.00574981,0.5625,0.0514187,1.93442e-05,78.5494,0.088463
16,24,0.1,3,random,32,0.00574981,0.4375,0.0115035,6.13147e-06,51.8005,0.242345
16,24,0.1,3,random,64,0.00574981,0.4375,0.0114856,1.05795e-05,33.1192,3.47816
16,24,0.1,3,random,128,0.00574981,0.5,0.00295581,9.80316e-06,10.3935,10.8414
16,24,0.1,3,random,256,0.00574981,1,0.00481812,1,0,11.9961
16,24,0.1,4,top_chi,2,0.00847704,0.6875,0.0141015,3.60846e-06,20.6785,0.0341126
16,24,0.1,4,top_chi,4,0.00847704,0.6875,0.000512961,2.11287e-05,13.7366,0.0368918
16,24,0.1,4,top_chi,8,0.00847704,0.625,0.00981279,0.00289048,7.91591,0.0466144
16,24,0.1,4,top_chi,16,0.00847704,0.875,0.00355051,0.0189825,5.329,0.0751041
16,24,0.1,4,top_chi,32,0.00847704,0.9375,0.00316205,0.0900172,3.23939,0.229878
16,24,0.1,4,top_chi,64,0.00847704,1,0.0245143,0.272313,1.66336,3.21459
16,24,0.1,4,top_chi,128,0.00847704,1,0.0170718,0.697916,0.426014,11.5825
16,24,0.1,4,top_chi,256,0.00847704,1,0.0117941,1,0,12.5667
16,24,0.1,4,random,2,0.00847704,0.5625,0.0642419,9.07405e-06,151.932,0.103877
16,24,0.1,4,random,4,0.00847704,0.75,0.00491333,7.34458e-06,121.381,0.0622666
16,24,0.1,4,random,8,0.00847704,0.3125,0.0325721,3.61735e-06,103.336,0.0926519
16,24,0.1,4,random,16,0.00847704,0.75,0.00796537,1.60455e-05,81.5187,0.117919
16,24,0.1,4,random,32,0.00847704,0.5,0.0142126,1.14232e-05,53.0671,0.247968
16,24,0.1,4,random,64,0.00847704,0.5,0.012209,1.65106e-05,32.0751,2.85992
16,24,0.1,4,random,128,0.00847704,0.5,0.00241018,4.50829e-05,9.42272,11.2033
16,24,0.1,4,random,256,0.00847704,1,0.0117941,1,0,12.9688
20,30,0,0,top_chi,2,1,0.55,0.0162016,nan,37.5828,0.111964
20,30,0,0,top_chi,4,1,0.65,0.00819258,nan,23.6411,0.111647
20,30,0,0,top_chi,8,1,0.8,0.00323018,nan,15.129,0.148916
20,30,0,0,top_chi,16,1,1,0.0956197,nan,9.65664,0.14748
20,30,0,0,top_chi,32,1,1,0.195335,nan,6.62822,0.417587
20,30,0,0,top_chi,64,1,1,0.311989,nan,4.3014,7.41596
20,30,0,0,top_chi,128,1,1,0.493296,nan,2.51614,37.8004
20,30,0,0,top_chi,256,1,1,0.736653,nan,1.08603,67.7667
20,30,0,1,top_chi,2,1,0.55,0.00282062,nan,37.3046,0.0500096
20,30,0,1,top_chi,4,1,0.95,0.0178203,nan,22.5106,0.0597036
20,30,0,1,top_chi,8,1,1,0.118399,nan,14.6008,0.0809964
20,30,0,1,top_chi,16,1,1,0.0808195,nan,9.04792,0.140892
20,30,0,1,top_chi,32,1,1,0.155262,nan,5.84394,0.435948
20,30,0,1,top_chi,64,1,1,0.351499,nan,3.78897,7.80867
20,30,0,1,top_chi,128,1,1,0.544447,nan,2.26982,34.712
20,30,0,1,top_chi,256,1,1,0.767707,nan,0.999976,65.4747
20,30,0,2,top_chi,2,1,0.55,0.0249644,nan,36.5296,0.0477501
20,30,0,2,top_chi,4,1,0.45,0.0023195,nan,24.9807,0.0551641
20,30,0,2,top_chi,8,1,0.9,0.0202882,nan,15.1495,0.0719962
20,30,0,2,top_chi,16,1,1,0.045409,nan,9.38047,0.12031
20,30,0,2,top_chi,32,1,1,0.160231,nan,6.01269,0.386953
20,30,0,2,top_chi,64,1,1,0.282169,nan,4.04593,7.07781
20,30,0,2,top_chi,128,1,1,0.47726,nan,2.49349,29.8554
20,30,0,2,top_chi,256,1,1,0.727699,nan,1.13049,67.9914
20,30,0,3,top_chi,2,1,0.6,0.0657478,nan,38.699,0.0661494
20,30,0,3,top_chi,4,1,0.8,0.00456758,nan,21.399,0.0680155
20,30,0,3,top_chi,8,1,0.95,0.00737931,nan,14.3824,0.099811
20,30,0,3,top_chi,16,1,1,0.0818382,nan,8.71426,0.211927
20,30,0,3,top_chi,32,1,1,0.166858,nan,6.07039,0.615574
20,30,0,3,top_chi,64,1,1,0.314056,nan,3.91519,7.71945
20,30,0,3,top_chi,128,1,1,0.516477,nan,2.28323,34.7482
20,30,0,3,top_chi,256,1,1,0.764062,nan,0.975211,61.5878
20,30,0,4,top_chi,2,1,0.4,0.0103943,nan,40.5561,0.0496112
20,30,0,4,top_chi,4,1,0.65,0.000591939,nan,22.3014,0.0590243
20,30,0,4,top_chi,8,1,1,0.0319674,nan,13.9484,0.072206
20,30,0,4,top_chi,16,1,0.95,0.00827232,nan,8.45611,0.124231
20,30,0,4,top_chi,32,1,1,0.143358,nan,5.88014,0.379342
20,30,0,4,top_chi,64,1,1,0.304133,nan,3.95704,6.91475
20,30,0,4,top_chi,128,1,1,0.504609,nan,2.3712,31.6716
20,30,0,4,top_chi,256,1,1,0.741055,nan,1.07859,62.3402
20,30,0.05,0,top_chi,2,0.118498,0.35,0.0065523,nan,38.1548,0.0504148
20,30,0.05,0,top_chi,4,0.118498,0.35,0.00798109,nan,24.1953,0.0559651
20,30,0.05,0,top_chi,8,0.118498,0.75,0.000788723,nan,15.8937,0.0712897
20,30,0.05,0,top_chi,16,0.118498,1,0.00448637,nan,10.2653,0.121843
20,30,0.05,0,top_chi,32,0.118498,1,0.0646464,nan,7.2296,0.370006
20,30,0.05,0,top_chi,64,0.118498,1,0.11228,nan,4.87181,6.79849
20,30,0.05,0,top_chi,128,0.118498,1,0.156934,nan,3.00462,30.5057
20,30,0.05,0,top_chi,256,0.118498,1,0.203395,nan,1.44711,63.0235
20,30,0.05,1,top_chi,2,0.132631,0.55,0.0086414,nan,37.3737,0.0491466
20,30,0.05,1,top_chi,4,0.132631,0.8,0.0130113,nan,23.7485,0.0564506
20,30,0.05,1,top_chi,8,0.132631,1,0.0199387,nan,14.9474,0.0719375
20,30,0.05,1,top_chi,16,0.132631,1,0.0110635,nan,9.60606,0.12285
20,30,0.05,1,top_chi,32,0.132631,1,0.0536777,nan,6.44318,0.376566
20,30,0.05,1,top_chi,64,0.132631,1,0.120558,nan,4.33259,6.74889
20,30,0.05,1,top_chi,128,0.132631,1,0.163022,nan,2.73397,29.2898
20,30,0.05,1,top_chi,256,0.132631,1,0.204567,nan,1.34278,63.0599
20,30,0.05,2,top_chi,2,0.124269,0.55,0.0145639,nan,38.3934,0.049292
20,30,0.05,2,top_chi,4,0.124269,0.7,0.00881537,nan,24.8203,0.0562878
20,30,0.05,2,top_chi,8,0.124269,0.65,0.000789563,nan,15.8476,0.0717976
20,30,0.05,2,top_chi,16,0.124269,0.95,0.00971427,nan,10.1345,0.120396
20,30,0.05,2,top_chi,32,0.124269,1,0.0688613,nan,6.62561,0.431337
20,30,0.05,2,top_chi,64,0.124269,1,0.104635,nan,4.65588,6.76033
20,30,0.05,2,top_chi,128,0.124269,1,0.15935,nan,3.05892,29.9234
20,30,0.05,2,top_chi,256,0.124269,1,0.206754,nan,1.55728,83.9062
20,30,0.05,3,top_chi,2,0.14318,0.45,0.0386213,nan,37.9061,0.0736299
20,30,0.05,3,top_chi,4,0.14318,0.45,0.000426486,nan,22.0758,0.118185
20,30,0.05,3,top_chi,8,0.14318,0.9,0.00789621,nan,15.1562,0.0955673
20,30,0.05,3,top_chi,16,0.14318,1,0.0233052,nan,9.36381,0.173893
20,30,0.05,3,top_chi,32,0.14318,1,0.0632839,nan,6.65037,0.456665
20,30,0.05,3,top_chi,64,0.14318,1,0.132401,nan,4.48939,8.3576
20,30,0.05,3,top_chi,128,0.14318,1,0.185768,nan,2.77301,35.8713
20,30,0.05,3,top_chi,256,0.14318,1,0.231086,nan,1.33109,73.504
20,30,0.05,4,top_chi,2,0.121656,0.5,0.0327879,nan,40.355,0.0514631
20,30,0.05,4,top_chi,4,0.121656,0.55,0.0134193,nan,22.7701,0.0607335
20,30,0.05,4,top_chi,8,0.121656,0.85,0.0183482,nan,14.4378,0.0739624
20,30,0.05,4,top_chi,16,0.121656,0.95,0.0448683,nan,8.86251,0.135004
20,30,0.05,4,top_chi,32,0.121656,1,0.0480889,nan,6.3773,0.399592
20,30,0.05,4,top_chi,64,0.121656,1,0.104307,nan,4.48763,7.4953
20,30,0.05,4,top_chi,128,0.121656,1,0.163417,nan,2.82951,36.3191
20,30,0.05,4,top_chi,256,0.121656,1,0.212341,nan,1.4202,86.8979
20,30,0.1,0,top_chi,2,0.000198397,0.4,0.00201193,nan,37.6923,0.0940731
20,30,0.1,0,top_chi,4,0.000198397,0.45,0.0106297,nan,24.4461,0.086404
20,30,0.1,0,top_chi,8,0.000198397,0.4,0.00109748,nan,17.2831,0.163327
20,30,0.1,0,top_chi,16,0.000198397,0.8,0.000450406,nan,11.536,0.209643
20,30,0.1,0,top_chi,32,0.000198397,0.65,0.00445087,nan,8.45544,0.42934
20,30,0.1,0,top_chi,64,0.000198397,0.9,0.00658889,nan,6.17849,7.41927
20,30,0.1,0,top_chi,128,0.000198397,0.95,0.00299928,nan,4.1737,37.4892
20,30,0.1,0,top_chi,256,0.000198397,1,0.00348901,nan,2.32566,85.3309
20,30,0.1,1,top_chi,2,0.000255407,0.5,0.0257961,nan,38.4235,0.0495934
20,30,0.1,1,top_chi,4,0.000255407,0.5,0.00635069,nan,24.9578,0.0568626
20,30,0.1,1,top_chi,8,0.000255407,0.65,0.00214384,nan,16.1684,0.074614
20,30,0.1,1,top_chi,16,0.000255407,0.7,0.00624695,nan,10.848,0.125804
20,30,0.1,1,top_chi,32,0.000255407,0.8,0.00144764,nan,7.66128,0.514853
20,30,0.1,1,top_chi,64,0.000255407,0.9,0.00060671,nan,5.57274,7.0948
20,30,0.1,1,top_chi,128,0.000255407,0.95,8.87268e-05,nan,3.88306,32.2592
20,30,0.1,1,top_chi,256,0.000255407,1,0.00231624,nan,2.19471,62.4767
20,30,0.1,2,top_chi,2,0.000213101,0.55,0.0163822,nan,39.8727,0.0501679
20,30,0.1,2,top_chi,4,0.000213101,0.45,0.00446805,nan,25.6464,0.0550707
20,30,0.1,2,top_chi,8,0.000213101,0.4,0.000206676,nan,16.9256,0.0721044
20,30,0.1,2,top_chi,16,0.000213101,0.55,0.00116519,nan,11.5092,0.124407
20,30,0.1,2,top_chi,32,0.000213101,0.65,0.00144141,nan,7.85439,0.422159
20,30,0.1,2,top_chi,64,0.000213101,0.8,0.00108997,nan,5.90101,7.1214
20,30,0.1,2,top_chi,128,0.000213101,0.85,0.000497961,nan,4.27474,30.7937
20,30,0.1,2,top_chi,256,0.000213101,0.95,2.8689e-06,nan,2.48813,75.1957
20,30,0.1,3,top_chi,2,0.000488048,0.5,0.00558744,nan,38.5582,0.0737896
20,30,0.1,3,top_chi,4,0.000488048,0.5,0.00703585,nan,22.4222,0.0795853
20,30,0.1,3,top_chi,8,0.000488048,0.65,0.000408484,nan,16.603,0.138068
20,30,0.1,3,top_chi,16,0.000488048,0.8,0.000624627,nan,10.5269,0.162189
20,30,0.1,3,top_chi,32,0.000488048,0.85,0.00206281,nan,7.76844,0.434218
20,30,0.1,3,top_chi,64,0.000488048,1,0.00132828,nan,5.76267,7.45965
20,30,0.1,3,top_chi,128,0.000488048,1,0.00496627,nan,3.97112,39.6258
20,30,0.1,3,top_chi,256,0.000488048,1,0.00608523,nan,2.22765,88.8018
20,30,0.1,4,top_chi,2,0.000185342,0.45,0.00552697,nan,39.276,0.11333
20,30,0.1,4,top_chi,4,0.000185342,0.4,0.00257852,nan,25.0487,0.0820866
20,30,0.1,4,top_chi,8,0.000185342,0.6,0.0175547,nan,15.6566,0.0994436
20,30,0.1,4,top_chi,16,0.000185342,0.5,0.00147101,nan,10.0969,0.192046
20,30,0.1,4,top_chi,32,0.000185342,0.6,0.00366821,nan,7.43986,0.517793
20,30,0.1,4,top_chi,64,0.000185342,0.8,0.00072383,nan,5.64333,7.22251
20,30,0.1,4,top_chi,128,0.000185342,0.9,0.00373531,nan,3.86654,35.2951
20,30,0.1,4,top_chi,256,0.000185342,0.95,0.000141643,nan,2.20203,84.1478
